452897760	0	-163.45	-489.36
783951475	0	-68.00	-451.00
1069829392	0	-31.06	-639.47
-1371600842	0	-314.10	759.45
452897760	31	-163.40	-489.21
783951475	31	-68.02	-450.84
1069829392	31	-31.09	-639.31
-1371600842	31	-307.61	765.94
452897760	61	-158.21	-471.36
783951475	61	-69.89	-432.35
1069829392	61	-34.71	-621.08
-1371600842	61	-307.61	765.94
452897760	91	-154.11	-457.27
783951475	91	-71.38	-417.75
1069829392	91	-37.56	-606.69
-1371600842	91	-307.61	765.94
452897760	122	-150.65	-445.40
783951475	122	-72.63	-405.45
1069829392	122	-39.97	-594.57
-1371600842	122	-307.61	765.94
452897760	151	-146.59	-431.44
783951475	151	-74.09	-390.99
1069829392	151	-42.80	-580.32
-1371600842	151	-307.61	765.94
452897760	181	-142.26	-416.56
783951475	181	-75.66	-375.57
1069829392	181	-45.81	-565.11
-1371600842	181	-307.61	765.94
452897760	211	-137.74	-401.03
783951475	211	-77.29	-359.48
1069829392	211	-48.96	-549.26
-1371600842	211	-307.61	765.94
452897760	240	-133.25	-385.61
783951475	240	-78.92	-343.50
1069829392	240	-52.08	-533.50
-1371600842	240	-307.61	765.94
452897760	272	-129.56	-372.00
783951475	272	-77.91	-332.94
1069829392	272	-54.92	-519.22
-1371600842	272	-307.61	765.94
452897760	300	-127.24	-358.81
783951475	300	-78.34	-323.08
1069829392	300	-57.91	-504.12
-1371600842	300	-307.61	765.94
452897760	331	-126.83	-348.37
783951475	331	-79.18	-315.14
1069829392	331	-60.69	-490.14
-1371600842	331	-307.61	765.94
452897760	360	-127.02	-339.04
783951475	360	-81.82	-304.48
1069829392	360	-63.81	-474.43
-1371600842	360	-307.61	765.94
452897760	391	-125.33	-331.80
783951475	391	-84.00	-291.95
1069829392	391	-66.74	-459.65
-1371600842	391	-307.61	765.94
452897760	421	-120.63	-322.95
783951475	421	-83.77	-279.23
1069829392	421	-69.68	-444.83
-1371600842	421	-307.61	765.94
452897760	451	-116.24	-314.90
783951475	451	-83.36	-268.55
1069829392	451	-72.12	-432.53
-1371600842	451	-307.61	765.94
452897760	481	-110.77	-305.06
783951475	481	-83.33	-256.03
1069829392	481	-75.08	-417.60
-1371600842	481	-307.61	765.94
452897760	511	-106.96	-294.33
