0	2071	-41.96	-69.92	(-0.05524, 0.30515, -0.04242, 0.94976)
0	2102	-10.23	-31.14	(-0.06202, 0.31920, -0.03904, 0.94485)
0	2130	-10.47	-31.31	(-0.06642, 0.33119, -0.03160, 0.94069)
0	2161	-10.18	-32.22	(-0.05656, 0.47941, -0.00177, 0.87576)
0	2191	31.76	-6.56	(-0.03917, 0.48213, 0.01596, 0.87508)
0	2221	30.41	-5.91	(-0.00894, 0.38554, 0.02805, 0.92222)
0	2251	61.89	32.49	(-0.00771, 0.31948, 0.05281, 0.94609)
0	2280	61.20	33.01	(-0.00233, 0.21168, 0.06321, 0.97529)
0	2310	78.64	79.85	(-0.00569, 0.16464, 0.06350, 0.98429)
0	2342	79.01	79.52	(-0.02098, 0.18142, 0.04897, 0.98196)
0	2371	100.44	124.34	(-0.05640, 0.38389, -0.00472, 0.92164)
0	2401	138.10	157.59	(-0.03162, 0.40288, 0.01500, 0.91458)
0	2431	137.77	158.29	(-0.01286, 0.37790, 0.04335, 0.92474)
0	2461	162.40	201.92	(0.00792, 0.17453, 0.07876, 0.98146)
0	2490	161.10	202.23	(0.01162, 0.07006, 0.08402, 0.99393)
0	2520	167.07	251.69	(0.01306, 0.05118, 0.08249, 0.99519)
0	2551	163.48	301.43	(-0.03713, -0.03444, 0.08122, 0.99541)
0	2581	163.59	301.30	(-0.03753, -0.04653, 0.06117, 0.99634)
0	2611	173.36	350.41	(-0.01938, 0.19276, 0.02024, 0.98085)
0	2641	173.78	350.43	(-0.01993, 0.28078, 0.03620, 0.95888)
0	2670	172.94	350.69	(-0.00946, 0.27292, 0.05455, 0.96044)
0	2700	197.23	393.86	(-0.00934, 0.19976, 0.08323, 0.97626)
0	2730	215.95	439.59	(-0.02933, 0.18078, 0.07975, 0.97985)
0	2760	215.48	439.68	(-0.03258, 0.07736, 0.07606, 0.99356)
0	2792	197.46	487.02	(-0.02919, -0.23438, 0.08822, 0.96769)
0	2821	196.43	486.47	(-0.03105, -0.39213, 0.08526, 0.91542)
0	2851	196.65	486.60	(-0.01975, -0.40687, 0.07103, 0.91051)
0	2881	166.01	524.42	(0.02295, 0.10512, 0.04977, 0.99295)
0	2911	195.82	564.65	(0.00768, 0.31016, 0.05795, 0.94888)
0	2940	196.08	564.61	(0.01410, 0.37403, 0.06863, 0.92477)
0	2971	233.07	597.85	(-0.02228, 0.43811, 0.09759, 0.89333)
0	3001	231.88	598.83	(0.01303, 0.38758, 0.14465, 0.91032)
0	3031	267.26	634.21	(0.03506, 0.39529, 0.13121, 0.90846)
0	3061	266.37	634.69	(0.04940, 0.32892, 0.16444, 0.92862)
0	3090	296.55	673.55	(0.02513, 0.31587, 0.16910, 0.93327)
0	3121	298.46	671.11	(-0.05967, 0.49341, 0.10731, 0.86109)
0	3151	299.33	670.77	(-0.04157, 0.50468, 0.09091, 0.85750)
0	3181	299.24	670.70	(-0.03389, 0.48785, 0.08342, 0.86827)
0	3211	298.86	671.32	(0.01667, 0.48467, 0.08099, 0.87078)
0	3241	299.07	671.46	(0.01767, 0.47429, 0.07593, 0.87691)
0	3271	299.18	671.42	(0.01132, 0.47439, 0.07810, 0.87677)
0	3301	299.07	671.40	(0.00620, 0.47340, 0.08375, 0.87683)
0	3331	299.14	671.54	(0.01476, 0.46783, 0.08639, 0.87946)
0	3361	299.40	671.48	(0.01754, 0.47596, 0.08325, 0.87534)
0	3391	299.55	671.45	(0.01753, 0.47514, 0.08402, 0.87571)
0	3421	298.78	671.95	(0.02853, 0.16096, 0.05981, 0.98473)
0	3452	296.17	670.57	(-0.01022, -0.43329, 0.04218, 0.90021)
0	3481	296.61	668.20	(-0.03518, -0.69586, 0.02959, 0.71670)
0	3511	297.79	667.52	(-0.04310, -0.71272, 0.03196, 0.69939)
0	3541	297.93	667.45	(-0.03526, -0.69308, 0.03724, 0.71903)
0	3570	297.37	667.15	(-0.04103, -0.68590, 0.03471, 0.72571)
0	3602	296.93	666.98	(-0.03308, -0.68898, 0.04259, 0.72277)
0	3631	296.68	667.10	(-0.03258, -0.68899, 0.03537, 0.72317)
0	3661	296.76	667.21	(-0.03057, -0.67173, 0.03545, 0.73932)
0	3691	297.04	667.12	(-0.03569, -0.66262, 0.03907, 0.74709)
0	3721	297.20	667.30	(-0.03820, -0.66317, 0.03319, 0.74676)
0	3752	297.46	667.77	(-0.03561, -0.60096, 0.03564, 0.79769)
0	3781	297.40	667.63	(-0.06698, -0.59528, 0.03275, 0.80005)
0	3811	297.52	667.82	(-0.06778, -0.60620, 0.02957, 0.79187)
0	3841	297.52	667.86	(-0.09024, -0.62940, 0.01824, 0.77161)
0	3870	297.13	668.20	(-0.07689, -0.64020, 0.02231, 0.76403)
0	3902	297.00	668.83	(-0.06956, -0.60252, 0.01884, 0.79484)
0	3930	299.63	671.35	(-0.00668, 0.07728, 0.02454, 0.99669)
0	3960	300.61	671.20	(-0.00900, 0.42988, 0.04649, 0.90164)
0	3990	300.27	672.10	(-0.01444, 0.46377, 0.07217, 0.88289)
0	4021	300.68	671.34	(-0.05079, 0.44213, 0.05272, 0.89396)
0	4050	301.06	671.27	(-0.00700, 0.42273, 0.05868, 0.90432)
0	4080	301.36	670.97	(0.04240, 0.39881, 0.02182, 0.91580)
0	4110	301.24	670.45	(-0.00444, 0.37266, 0.05283, 0.92645)
0	4140	299.06	671.12	(0.01732, -0.00638, 0.08839, 0.99591)
0	4171	298.25	671.11	(0.01226, -0.12589, 0.09701, 0.98721)
0	4201	297.04	670.61	(-0.03486, -0.29229, 0.09164, 0.95129)
0	4231	296.88	670.22	(-0.04136, -0.27607, 0.09950, 0.95508)
0	4260	298.98	670.58	(-0.01468, 0.04615, 0.06783, 0.99652)
0	4291	300.33	670.16	(-0.02816, 0.28604, 0.04238, 0.95687)
0	4320	300.56	670.42	(-0.03181, 0.37611, 0.05982, 0.92409)
0	4350	298.89	671.57	(0.00815, -0.22643, 0.07896, 0.97079)
0	4381	299.61	666.60	(0.00195, -0.80369, 0.03127, 0.59423)
0	4411	302.97	663.10	(-0.10013, -0.97580, 0.01953, 0.19340)
0	4441	303.44	662.88	(-0.10250, -0.98109, 0.03867, 0.15954)
0	4470	303.84	662.93	(-0.13110, -0.97717, 0.05111, 0.15916)
0	4500	303.49	663.49	(-0.12039, -0.97526, 0.05666, 0.17652)
0	4531	301.65	664.91	(-0.11431, -0.90979, 0.04369, 0.39663)
0	4561	300.12	668.07	(-0.11307, -0.46284, 0.01944, 0.87898)
0	4591	301.36	668.43	(-0.05993, 0.26220, -0.01050, 0.96309)
0	4620	300.26	668.16	(-0.00572, 0.46212, 0.03926, 0.88593)
0	4652	299.26	669.06	(-0.02900, 0.45524, 0.10236, 0.88399)
0	4680	298.80	670.31	(-0.00611, 0.32881, 0.12198, 0.93646)
0	4710	300.27	670.45	(-0.06919, 0.38598, 0.08414, 0.91605)
0	4740	301.22	670.47	(-0.08474, 0.43856, 0.07485, 0.89156)
0	4770	301.55	670.17	(-0.08492, 0.46695, 0.06373, 0.87789)
0	4800	301.25	669.97	(-0.09662, 0.46921, 0.06351, 0.87548)
0	4831	299.89	671.31	(-0.09032, 0.45338, 0.10030, 0.88104)
0	4860	299.45	671.66	(-0.07575, 0.44213, 0.09677, 0.88849)
0	4890	300.07	671.63	(-0.05225, 0.44090, 0.07205, 0.89313)
